Prefix|Security Identifier|CUSIP|Security Factor Date|Security Factor|Payment Delay Days|Security Data Correction Indicator|Security Status Indicator|Security Notification Indicator|Security Description|Issuer|Issue Date|Maturity Date|Updated Longest Maturity Date|Issuance Investor Security UPB|Current Investor Security UPB|Unconverted WA Net Interest Rate|WA Issuance Interest Rate|WA Current Interest Rate|WA Net Accrual Interest Rate|WA Loan Term|WA Issuance Remaining Months to Maturity|WA Current Remaining Months to Maturity|WA Loan Age|WA Mortgage Loan Amount|Average Mortgage Loan Amount|WA Loan-To-Value (LTV)|WA Combined Loan-To-Value (CLTV)|WA Debt-To-Income (DTI)|WA Borrower Credit Score|Filler|Filler|Loan Count|Third Party Origination UPB Percent|Seller Name|Seller City|Seller State|Servicer Name|Servicer City|Servicer State|Involuntary Loan Removal (Prior Month UPB)|Involuntary Loan Removal (Loan Count)|Eligible for Resecuritization|Notes|Notes Ongoing|Interest Only Security Indicator|WA Months to Amortization|Prepayment Penalty Indicator|Reduced Minimum Servicing Indicator|Subtype|Index|WA Mortgage Margin|WA MBS PC Margin|Interest Rate Adjustment Frequency|Interest Rate Lookback|Payment Adjustment Frequency|Payment Lookback|Convertibility Indicator|Negative Amortization Indicator|Negative Amortization Factor|WA Negative Amortization Limit|Initial Fixed Rate Period|First Rate Adjustment Date|First Payment Adjustment Date|WA Months to Next Rate Adjustment Date|WA Life Interest Rate Ceiling|WA Net Life Interest Rate Ceiling|WA Life Interest Rate Floor|WA Net Life Interest Rate Floor|Initial Interest Rate Cap Up %|Initial Interest Rate Cap Down %|Periodic Interest Rate Cap Up %|Periodic Interest Rate Cap Down %|Initial Step Fixed-Rate Period|Step Rate Adjustment Frequency|Next Step Rate Adjustment Date|WA Months to Next Step Rate Adjustment|Periodic Step Rate Cap Up %|WA Origination Mortgage Loan Amount|Average Origination Mortgage Loan Amount|WA Origination Interest Rate|WA Origination Loan Term|WA Origination Loan-To-Value (LTV)|WA Origination Combined Loan-To-Value (CLTV)|WA Origination Debt-To-Income (DTI)|WA  Origination Credit Score|Filler|Filler|Origination Third Party Origination UPB Percent|WA Estimated Loan-To-Value (ELTV)|WA Updated Credit Score|WA Original Interest Only Term|WA Original Balloon Term|WA Remaining Amortization Term|WA Debt Service Coverage Ratio (DSCR)|Interest Accrual Method|Prepayment Penalty Provision|Green Advantage|Converted WA Net Interest Rate|Green Indicator
WA|WA0319|3132WRKW2|052026|0.87464106|55|N|A|7|FKPC 04.7900 WA-WA0319|FRE|04012019|012036|012036|1384282.00|1210749.87|4.790|5.400|5.400||360|201|116|100|1409000.00|1409000.00|58|58|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|260|00001.77|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0320|3132WRKX0|052026|0.85160106|55|N|A|7|FKPC 04.7400 WA-WA0320|FRE|04012019|092033|092033|568061.00|483761.35|4.740|5.350|5.350||360|173|88|128|600000.00|600000.00|50|50|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|232|00001.22|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0321|3132WRKY8|052026|0.86407784|55|N|A|7|FKPC 05.3900 WA-WA0321|FRE|04012019|102033|102033|1191094.00|1029197.93|5.390|6.000|6.000||360|174|89|127|1249000.00|1249000.00|26|26|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|233|00001.15|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0322|3132WRKZ5|052026|0.87356895|55|N|A|7|FKPC 04.7700 WA-WA0322|FRE|04012019|122035|122035|1398599.00|1221772.66|4.770|5.380|5.380||360|200|115|101|1425000.00|1425000.00|72|72|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|259|00001.41|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0323|3132WRK28|052026|0.86813357|55|N|A|7|FKPC 04.8400 WA-WA0323|FRE|04012019|032035|032035|2208612.00|1917370.23|4.840|5.450|5.450||360|191|106|110|2275000.00|2275000.00|73|73|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|250|00001.09|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0324|3132WRK36|052026|0.87079043|55|N|A|7|FKPC 04.9900 WA-WA0324|FRE|04012019|032035|032035|714560.00|622232.01|4.990|5.600|5.600||360|191|106|110|735000.00|735000.00|40|40|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|250|00001.70|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0325|3132WRK44|052026|0.87294884|55|N|A|7|FKPC 05.0700 WA-WA0325|FRE|04012019|042035|042035|5576301.00|4867825.47|5.070|5.680|5.680||360|192|107|109|5730000.00|5730000.00|41|41|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|251|00001.18|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0326|3132WRK51|052026|0.86355692|55|N|A|7|FKPC 05.3600 WA-WA0326|FRE|04012019|102033|102033|1573045.00|1358413.90|5.360|5.970|5.970||360|174|89|127|1650000.00|1650000.00|63|63|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|233|00001.29|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0327|3132WRK69|052026|0.87266794|55|N|A|7|FKPC 04.7600 WA-WA0327|FRE|04012019|112035|112035|705769.00|615901.98|4.760|5.370|5.370||360|199|114|102|720000.00|720000.00|28|28|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|258|00001.61|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0328|3132WRK77|052026|0.87105632|55|N|A|7|FKPC 05.8000 WA-WA0328|FRE|04012019|102033|102033|478407.00|416719.44|5.800|6.410|6.410||360|174|89|127|500000.00|500000.00|47|47|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|233|00001.14|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0329|3132WRK85|052026|0.87247440|55|N|A|7|FKPC 04.7900 WA-WA0329|FRE|04012019|102035|102035|2597652.00|2266384.86|4.790|5.400|5.400||360|198|113|103|2653000.00|2653000.00|76|76|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|257|00001.20|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0330|3132WRK93|052026|0.87000951|55|N|A|7|FKPC 04.8600 WA-WA0330|FRE|04012019|052035|052035|1460057.00|1270263.47|4.860|5.470|5.470||360|193|108|108|1500000.00|1500000.00|35|35|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|252|00004.96|30/360|L(1) YM1%(180) 1%(32) O(3)|N/A||
WA|WA0331|3132WRLA9|052026|0.87004990|55|N|A|7|FKPC 05.6900 WA-WA0331|FRE|04012019|112033|112033|717851.00|624566.19|5.690|6.300|6.300||360|175|90|126|750000.00|750000.00|33|33|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|234|00001.64|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0332|3132WRLB7|052026|0.86882966|55|N|A|7|FKPC 04.7100 WA-WA0332|FRE|04012019|072035|072035|1730875.00|1503835.54|4.710|5.320|5.320||360|195|110|106|1775000.00|1775000.00|63|63|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|254|00001.05|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0333|3132WRLC5|052026|0.86817461|55|N|A|7|FKPC 05.5300 WA-WA0333|FRE|04012019|122033|122033|1032810.00|896659.42|5.530|6.140|6.140||360|176|91|125|1079000.00|1079000.00|43|43|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|235|00001.55|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0334|3132WRLD3|052026|0.87320131|55|N|A|7|FKPC 04.7900 WA-WA0334|FRE|04012019|112035|112035|1519529.00|1326854.72|4.790|5.400|5.400||360|199|114|102|1550000.00|1550000.00|29|29|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|258|00002.80|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0335|3132WRLE1|052026|0.86834614|55|N|A|7|FKPC 05.5400 WA-WA0335|FRE|04012019|122033|122033|1229974.00|1068043.18|5.540|6.150|6.150||360|176|91|125|1285000.00|1285000.00|51|51|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|235|00002.36|30/360|YM1%(213) O(3)|N/A||
WA|WA0336|3132WRLF8|052026|0.87439054|55|N|A|7|FKPC 04.9400 WA-WA0336|FRE|04012019|092035|092035|3008942.00|2630990.42|4.940|5.550|5.550||360|197|112|104|3075000.00|3075000.00|69|69|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|256|00001.25|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0337|3132WRLG6|052026|0.87171431|55|N|A|7|FKPC 05.6900 WA-WA0337|FRE|04012019|012034|012034|3266915.00|2847816.55|5.690|6.300|6.300||360|177|92|124|3405000.00|3405000.00|55|55|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|236|00001.62|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0338|3132WRLH4|052026|0.87421365|55|N|A|7|FKPC 05.8400 WA-WA0338|FRE|04012019|012034|012034|1114192.00|974041.86|5.840|6.450|6.450||360|177|92|124|1160000.00|1160000.00|69|69|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|236|00001.14|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0340|3132WRLK7|052026|0.87846210|55|N|A|7|FKPC 06.1000 WA-WA0340|FRE|04012019|012034|012034|360863.00|317004.47|6.100|6.710|6.710||360|177|92|124|375000.00|375000.00|58|58|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|236|00001.16|30/360|YM1%(180) 1%(33) O(3)|N/A||
WA|WA0341|3132WRLL5|052026|0.87526489|55|N|A|7|FKPC 04.9900 WA-WA0341|FRE|04012019|092035|092035|2055293.00|1798925.81|4.990|5.600|5.600||360|197|112|104|2100000.00|2100000.00|70|70|||||1||Impact C.I.L., LLC|San Francisco|CA|Berkadia Commercial Mortgage LLC|Ambler|PA|0.00|0|Y|0||N||Y|N|||||||||||||||||||||||||||||||||||||||||||000|216|256|00001.21|30/360|YM1%(180) 1%(33) O(3)|N/A||
